Region,Product,Date,Sales,Discount%,Discount,Total
North,Dyno5,43555,9786.894289,0.051777159,506.7375842,9280.156705
West,Game2,43555,9700.701419,0.094009379,911.9569119,8788.744507
North,Game6,43555,9953.764031,0.053796408,535.4767476,9418.287283
North,Game2,43555,9545.52987,0.033135164,316.2926982,9229.237172
North,Game2,43555,9692.732076,0.092586829,897.4193268,8795.312749
North,Game5,43555,9616.868165,0.01772596,170.4682223,9446.399943
North,Board4,43555,9635.517974,0.047855987,461.1172276,9174.400746
East,Board1,43555,8933.08625,0.04676153,417.7247814,8515.361469
East,Game9,43555,9101.10663,0.034960974,318.1835486,8782.923081
South,Dyno4,43555,9847.686509,0.047311214,465.9060033,9381.780506
North,Game6,43555,9549.603971,0.024078375,229.9389447,9319.665026
East,Game1,43555,9087.243995,0.009466945,86.02843776,9001.215557
South,Dyno2,43555,9348.288541,0.011666993,109.0664155,9239.222126
North,Dyno5,43555,9503.088959,0.023524429,223.554745,9279.534214
South,Game7,43555,9857.074395,0.051638565,509.0051817,9348.069213
North,Game4,43555,9849.032373,0.08663223,853.2436411,8995.788732
East,Game10,43555,9139.884884,0.098577045,900.9828479,8238.902036
East,Game9,43555,8750.685664,0.053182332,465.3818742,8285.30379
South,Game6,43555,9784.151751,0.095156521,931.0258456,8853.125905
North,Board1,43555,9398.080594,0.083405084,783.8476983,8614.232896
North,Game2,43555,9483.82864,0.074918459,710.513829,8773.314811
North,Dyno2,43555,9595.098625,0.074741678,717.1537705,8877.944855
North,Board1,43555,9710.433113,0.001180796,11.46604059,9698.967072
North,Game10,43555,9478.036008,0.076197336,722.2010908,8755.834917
West,Game8,43555,9329.184495,0.056863337,530.4885602,8798.695935
South,Game1,43555,9934.892965,0.063835578,634.1996393,9300.693326
North,Board4,43555,9507.852723,0.088043888,837.1083235,8670.744399
North,Game6,43555,9555.690998,0.028411566,271.4921459,9284.198852
East,Board2,43555,8723.704793,0.013436457,117.2156811,8606.489112
North,Game4,43555,9476.989162,0.088064889,834.5900006,8642.399161
South,Dyno4,43555,10160.90242,0.033080196,336.1246411,9824.777779
South,Dyno5,43555,9949.868285,0.019408346,193.1104828,9756.757802
South,Board4,43555,9674.433262,0.018971104,183.5346829,9490.898579
East,Board2,43555,9187.093658,0.061289364,563.0711233,8624.022535
West,Game9,43555,9244.296924,0.023789626,219.9183686,9024.378555
North,Game10,43555,9669.106368,0.058832572,568.8583918,9100.247976
North,Dyno5,43555,9324.962322,0.012147533,113.275284,9211.687038
North,Game7,43555,9226.76083,0.022308931,205.8391711,9020.921659
North,Prod T,43555,9265.334677,0.031053985,287.7255609,8977.609116
East,Game1,43555,8763.014257,0.011078493,97.08098782,8665.933269
North,Board5,43555,9479.402691,0.011594246,109.906529,9369.496162
West,Game2,43555,9130.019831,0.018197511,166.143632,8963.876199
North,Board3,43555,9645.294285,0.047142934,454.7074752,9190.58681
South,Game1,43555,9808.014056,0.069394322,680.6204885,9127.393567
South,Game6,43555,9756.769442,0.038680207,377.3938618,9379.37558
East,Dyno5,43555,9109.687208,0.097145915,884.9688987,8224.718309
South,Game8,43555,9569.563074,0.071964034,688.6643605,8880.898713
South,Game5,43555,9403.194658,0.030443989,286.2707536,9116.923904
North,Game2,43555,9791.586419,0.080582068,789.0262791,9002.56014
North,Dyno1,43555,9495.139468,0.072612553,689.4663186,8805.673149
North,Game9,43555,9581.654695,0.005193434,49.76169365,9531.893001
South,Board2,43555,9913.234503,0.004452407,44.13775789,9869.096745
North,Game1,43555,9421.799516,0.056048566,528.0783533,8893.721163
South,Game10,43555,9961.503552,0.066270256,660.1513866,9301.352165
South,Dyno2,43555,9818.080262,0.098164946,963.7913234,8854.288939
South,Game6,43555,9790.577175,0.063833977,624.9714797,9165.605695
North,Game6,43555,9959.637412,0.051444635,512.3699097,9447.267502
North,Board5,43555,9899.790188,0.082133247,813.101914,9086.688274
North,Game8,43555,9383.637804,0.001905054,17.876336,9365.761468
North,Board4,43555,9522.638297,0.010587716,100.8229855,9421.815311
South,Board3,43555,9624.449632,0.064591298,621.6556899,9002.793942
South,Board3,43555,9411.176219,0.04334428,407.920653,9003.255566
South,Dyno5,43555,9702.39349,0.07634464,740.7257413,8961.667749
North,Game4,43555,9698.427391,0.099693277,966.868009,8731.559382
North,Game2,43555,9753.38773,0.063844617,622.7013082,9130.686422
South,Dyno2,43555,9655.075463,0.083405009,805.2816517,8849.793811
North,Dyno1,43555,9725.035556,0.026699978,259.6582336,9465.377322
North,Game10,43555,9809.342074,0.031737755,311.3264945,9498.015579
West,Dyno5,43555,9484.586698,0.001290803,12.24272826,9472.34397
South,Board1,43555,10074.14976,0.036680519,369.5250444,9704.624716
West,Game7,43555,9313.318379,0.077342887,720.3189274,8592.999452
North,Board4,43555,9185.550722,0.006974231,64.06214916,9121.488573
West,Game2,43555,9556.011368,0.03694556,353.0521886,9202.959179
South,Dyno4,43555,10302.35667,0.017440181,179.6749673,10122.6817
North,Board3,43555,9435.526396,0.025747799,242.9440372,9192.582359
North,Game10,43555,9471.940481,0.032317434,306.1088108,9165.83167
West,Game1,43555,9954.837266,0.083726331,833.4820004,9121.355266
South,Board3,43555,9702.384048,0.0137413,133.323369,9569.060679
South,Prod T,43555,9966.834171,0.099218165,988.8909925,8977.943178
West,Board3,43555,9517.215302,0.041658104,396.4691412,9120.746161
North,Game5,43555,9404.761926,0.02618222,246.2375435,9158.524382
North,Board1,43555,9435.13584,0.025076324,236.5985209,9198.537319
West,Game4,43555,9449.405199,0.08300872,784.3830339,8665.022165
North,Game8,43555,9503.878501,0.04593567,436.5670312,9067.31147
South,Game6,43555,9692.684865,0.064691703,627.0362882,9065.648577
South,Game7,43555,10007.73881,0.074075161,741.3248643,9266.413946
North,Dyno4,43555,9479.60301,0.016018279,151.8469304,9327.75608
South,Game5,43555,9808.169227,0.041976189,411.7095654,9396.459662
West,Board4,43555,9239.495967,0.089688585,828.6773177,8410.818649
West,Board5,43555,9348.214957,0.077186146,721.552685,8626.662272
South,Board3,43555,9313.186739,0.039678003,369.5286529,8943.658086
North,Prod T,43555,9595.177845,0.096140229,922.4825969,8672.695248
