Region,Product,Date,Sales
South,Board5,31/12/2019,23683.71785
North,Board5,31/12/2019,23607.45392
South,Board1,31/12/2019,23428.11818
North,Game7,31/12/2019,23237.15033
East,Board4,31/12/2019,22642.2586
East,Game1,31/12/2019,22568.8919
South,Game7,31/12/2019,23253.17319
South,Game10,31/12/2019,23521.98507
East,Game5,31/12/2019,22664.4275
South,Board5,31/12/2019,23357.92206
North,Game7,31/12/2019,23042.53663
North,Dyno1,31/12/2019,23555.612
South,Game4,31/12/2019,23675.63738
West,Board1,31/12/2019,23433.26288
South,Game8,31/12/2019,23725.59598
North,Game10,31/12/2019,23420.85501
North,Board4,31/12/2019,23158.75755
West,Board2,31/12/2019,23128.29224
South,Dyno2,31/12/2019,23382.03063
East,Board2,31/12/2019,22851.73616
North,Dyno5,31/12/2019,23227.99076
North,Board3,31/12/2019,23180.42896
North,Game5,31/12/2019,23445.97268
North,Game6,31/12/2019,23804.359
West,Game6,31/12/2019,23097.90972
North,Game5,31/12/2019,23666.28634
South,Game4,31/12/2019,23670.28504
East,Game5,31/12/2019,22562.39113
South,Game2,31/12/2019,23221.30206
North,Game4,31/12/2019,23610.00266
North,Game2,31/12/2019,23407.80961
West,Dyno4,31/12/2019,23384.45446
West,Dyno1,31/12/2019,23374.22712
South,Board1,31/12/2019,23454.2574
South,Game4,31/12/2019,23756.53305
South,Dyno5,31/12/2019,23519.69036
East,Game6,31/12/2019,22847.93942
South,Board2,31/12/2019,23460.21207
West,Dyno1,31/12/2019,23344.32005
South,Board3,31/12/2019,23574.4158
East,Dyno5,31/12/2019,22885.2825
North,Board2,31/12/2019,23604.45746
North,Game3,31/12/2019,23051.00885
South,Game1,31/12/2019,23381.05196
West,Game6,31/12/2019,23027.85188
South,Prod T,31/12/2019,23466.63531
North,Game1,31/12/2019,23615.89491
East,Board5,31/12/2019,22691.51552
South,Game3,31/12/2019,23627.82259
North,Dyno2,31/12/2019,23262.29708
West,Game9,31/12/2019,23135.39305
North,Game2,31/12/2019,23304.10237
North,Game3,31/12/2019,23309.6307
North,Game2,31/12/2019,23561.57201
South,Dyno2,31/12/2019,23523.76934
North,Dyno5,31/12/2019,23723.3016
North,Game2,31/12/2019,23483.79906
West,Game5,31/12/2019,23180.18379
North,Game8,31/12/2019,23304.73718
South,Dyno5,31/12/2019,23361.70909
North,Game7,31/12/2019,22922.72361
North,Game6,31/12/2019,23318.66382
North,Game4,31/12/2019,23296.48952
East,Game8,31/12/2019,22988.37341
West,Dyno5,31/12/2019,22828.77536
South,Dyno1,31/12/2019,23365.20893
East,Dyno4,31/12/2019,22602.46295
South,Game8,31/12/2019,23492.76397
West,Dyno2,31/12/2019,22972.91135
East,Game4,31/12/2019,22701.54263
North,Game4,31/12/2019,23434.21304
South,Dyno5,31/12/2019,23272.02278
North,Game8,31/12/2019,23341.10526
South,Board2,31/12/2019,23708.58393
North,Dyno4,31/12/2019,23175.55704
North,Board1,31/12/2019,23645.90688
North,Game9,31/12/2019,23220.17643
North,Game10,31/12/2019,23358.1925
West,Dyno4,31/12/2019,23241.52595
North,Game4,31/12/2019,23436.41408
South,Game2,31/12/2019,23622.0065
North,Board3,31/12/2019,23222.22612
North,Prod T,31/12/2019,23152.27537
North,Game3,31/12/2019,23188.50032
West,Board5,31/12/2019,22948.25343
South,Game2,31/12/2019,23720.7185
North,Game2,31/12/2019,23545.76302
West,Board4,31/12/2019,22939.14526
East,Board3,31/12/2019,22935.05258
North,Board2,31/12/2019,23466.62606
North,Game2,31/12/2019,23496.76215
North,Game7,31/12/2019,23453.40729
West,Board1,31/12/2019,22724.01533
South,Game3,31/12/2019,23191.91423
South,Game6,31/12/2019,23720.40436
North,Game8,31/12/2019,23194.7887
North,Game6,31/12/2019,23268.92085
South,Game9,31/12/2019,23783.71303
West,Board1,31/12/2019,23083.19745
North,Game2,31/12/2019,23333.61629
East,Game6,31/12/2019,22687.95266
North,Game8,31/12/2019,23079.91862
North,Game4,31/12/2019,23134.32035
East,Dyno4,31/12/2019,22667.72799
North,Board3,31/12/2019,23176.05873
North,Dyno2,31/12/2019,23371.24563
North,Game6,31/12/2019,23323.90627
North,Board5,31/12/2019,23146.39607
East,Board1,31/12/2019,22881.99081
West,Game10,31/12/2019,23085.25314
South,Dyno1,31/12/2019,23224.07792
South,Board2,31/12/2019,23549.55904
South,Game7,31/12/2019,22997.50683
North,Game4,31/12/2019,23056.99821
North,Game8,31/12/2019,23143.66272
North,Dyno2,31/12/2019,23006.52699
South,Game7,31/12/2019,23195.18006
North,Prod T,31/12/2019,23455.06908
South,Game5,31/12/2019,23567.93845
North,Prod T,31/12/2019,23178.89829
East,Game1,31/12/2019,22622.68623
North,Prod T,31/12/2019,23195.65935
East,Board3,31/12/2019,22471.64727
North,Board2,31/12/2019,23187.69634
South,Game2,31/12/2019,23362.50215
North,Dyno1,31/12/2019,23294.05623
South,Game4,31/12/2019,23424.23857
North,Board5,31/12/2019,23654.70204
South,Game5,31/12/2019,23428.62881
West,Game5,31/12/2019,23620.07481
North,Board4,31/12/2019,23096.39769
North,Dyno5,31/12/2019,23258.0765
South,Game7,31/12/2019,23491.9992
North,Game10,31/12/2019,23279.1018
North,Game8,31/12/2019,23396.52897
South,Board5,31/12/2019,23133.40665
South,Game10,31/12/2019,23801.43174
North,Game8,31/12/2019,23151.66913
North,Board3,31/12/2019,23494.86154
North,Board3,31/12/2019,23344.81849
West,Dyno2,31/12/2019,23128.71637
North,Board3,31/12/2019,23553.06418
West,Dyno2,31/12/2019,23225.94778
East,Dyno1,31/12/2019,22670.91856
North,Dyno5,31/12/2019,23002.46741
South,Game10,31/12/2019,23440.8231
North,Game9,31/12/2019,23055.33992
West,Game2,31/12/2019,23209.10541
North,Board2,31/12/2019,23161.80464
South,Game2,31/12/2019,23538.27959
South,Game6,31/12/2019,23455.84057
West,Game2,31/12/2019,23385.16905
South,Game7,31/12/2019,23662.69192
North,Game7,31/12/2019,23194.59106
West,Game8,31/12/2019,23251.55722
West,Dyno1,31/12/2019,23198.78444
North,Game5,31/12/2019,23045.31782
North,Board2,31/12/2019,23075.73332
North,Game8,31/12/2019,22821.33204
North,Board5,31/12/2019,23131.08149
North,Prod T,31/12/2019,23346.71864
South,Board3,31/12/2019,23624.48254
East,Dyno4,31/12/2019,22735.80562
South,Game2,31/12/2019,23481.43887
North,Game9,31/12/2019,23025.48035
North,Dyno2,31/12/2019,23766.38396
