Region,Product,Date,Sales
North,Game5,31/08/2019,16716.26395
North,Game8,31/08/2019,17251.76226
North,Game5,31/08/2019,16927.67926
South,Game5,31/08/2019,17617.54096
North,Game10,31/08/2019,17322.09093
East,Game2,31/08/2019,16298.25256
North,Game2,31/08/2019,17463.88376
South,Game8,31/08/2019,17166.29341
North,Board3,31/08/2019,17495.23128
North,Game1,31/08/2019,17033.46954
South,Dyno1,31/08/2019,17370.45516
West,Board5,31/08/2019,16691.29952
East,Game3,31/08/2019,16787.90504
South,Game9,31/08/2019,17710.21241
South,Dyno1,31/08/2019,17151.28819
West,Board5,31/08/2019,17188.26811
West,Game2,31/08/2019,17267.20706
East,Game8,31/08/2019,16262.30372
North,Board4,31/08/2019,17132.81711
North,Board4,31/08/2019,17285.51776
North,Game4,31/08/2019,17088.02117
North,Board3,31/08/2019,17461.42563
West,Dyno5,31/08/2019,17154.56059
North,Dyno5,31/08/2019,17238.51122
North,Dyno4,31/08/2019,17157.63108
East,Game2,31/08/2019,17033.33747
East,Game8,31/08/2019,16367.72881
North,Board1,31/08/2019,17666.695
North,Dyno5,31/08/2019,17045.30634
South,Game10,31/08/2019,17182.96762
North,Game1,31/08/2019,17093.08428
South,Game6,31/08/2019,17100.0686
North,Game6,31/08/2019,17068.87853
North,Game10,31/08/2019,17395.36681
North,Board5,31/08/2019,17382.35204
North,Game8,31/08/2019,17381.36369
West,Game5,31/08/2019,17244.95128
North,Board3,31/08/2019,16994.51095
North,Board5,31/08/2019,17010.23144
South,Prod T,31/08/2019,17469.63718
North,Prod T,31/08/2019,17093.14814
North,Game6,31/08/2019,17119.78915
North,Board1,31/08/2019,17147.80457
South,Game7,31/08/2019,17202.23194
North,Dyno5,31/08/2019,16948.77742
West,Dyno2,31/08/2019,17203.23466
East,Game3,31/08/2019,16816.63795
South,Game1,31/08/2019,17599.73134
North,Prod T,31/08/2019,17146.82895
North,Board2,31/08/2019,17115.00481
North,Dyno4,31/08/2019,17395.60308
North,Board3,31/08/2019,16973.54791
South,Game5,31/08/2019,17453.89052
West,Dyno5,31/08/2019,16889.18588
North,Game7,31/08/2019,17337.06661
North,Game5,31/08/2019,17189.81726
South,Game1,31/08/2019,17276.49506
