Region,Product,Date,Sales
West,Game6,31/07/2019,15306.2876
North,Game6,31/07/2019,15809.77564
North,Board1,31/07/2019,15371.81237
North,Game3,31/07/2019,15529.44325
North,Game3,31/07/2019,15215.13958
East,Dyno5,31/07/2019,15140.21272
North,Dyno1,31/07/2019,15901.67529
West,Dyno2,31/07/2019,15402.22668
North,Game6,31/07/2019,15678.75339
South,Dyno5,31/07/2019,15712.23038
East,Board5,31/07/2019,15430.61356
North,Board3,31/07/2019,15438.80473
North,Dyno4,31/07/2019,15751.6647
North,Game10,31/07/2019,16021.40678
South,Game4,31/07/2019,15870.68691
North,Game6,31/07/2019,15912.64954
West,Game9,31/07/2019,15840.35401
South,Game7,31/07/2019,15696.90974
East,Game10,31/07/2019,14489.48842
North,Board3,31/07/2019,15704.00107
South,Game6,31/07/2019,15701.95496
South,Dyno5,31/07/2019,16097.61896
East,Game2,31/07/2019,15545.26168
West,Prod T,31/07/2019,15573.87853
East,Dyno2,31/07/2019,15252.42448
East,Game5,31/07/2019,14982.89094
North,Board2,31/07/2019,15589.75791
North,Board2,31/07/2019,15720.98158
North,Game4,31/07/2019,15336.85736
South,Game4,31/07/2019,16037.14187
West,Board1,31/07/2019,15485.75102
North,Game3,31/07/2019,15288.63227
South,Board2,31/07/2019,16011.33278
East,Board3,31/07/2019,15102.50572
North,Game1,31/07/2019,15834.70511
West,Game7,31/07/2019,15799.70842
North,Prod T,31/07/2019,15670.31251
North,Game2,31/07/2019,15659.99296
North,Dyno4,31/07/2019,15860.70741
South,Dyno1,31/07/2019,15851.59486
North,Prod T,31/07/2019,15656.3051
West,Game10,31/07/2019,15442.36773
North,Game5,31/07/2019,16067.99921
East,Game5,31/07/2019,15275.85583
East,Game4,31/07/2019,14956.95287
North,Game1,31/07/2019,15782.0151
North,Game10,31/07/2019,15471.89753
North,Dyno4,31/07/2019,15598.29322
South,Game7,31/07/2019,15889.3413
East,Board5,31/07/2019,15011.58565
West,Game5,31/07/2019,15558.07323
North,Board5,31/07/2019,15497.3993
North,Dyno2,31/07/2019,15668.47176
South,Board3,31/07/2019,16213.26345
North,Game7,31/07/2019,15620.8697
North,Board1,31/07/2019,15097.42322
North,Game6,31/07/2019,15589.85282
West,Game5,31/07/2019,15560.63153
West,Game4,31/07/2019,15561.81295
North,Board2,31/07/2019,15648.9297
East,Game3,31/07/2019,14665.32521
South,Game4,31/07/2019,15559.52123
West,Dyno5,31/07/2019,15762.59307
West,Game3,31/07/2019,15963.33049
South,Game9,31/07/2019,16130.96947
South,Dyno1,31/07/2019,15858.99195
South,Board5,31/07/2019,15903.86349
West,Board1,31/07/2019,15585.02904
South,Prod T,31/07/2019,15961.76249
West,Game7,31/07/2019,15370.73911
South,Dyno1,31/07/2019,16174.23658
West,Game8,31/07/2019,15397.7061
South,Game4,31/07/2019,15817.08206
North,Board3,31/07/2019,15927.19398
West,Board2,31/07/2019,15525.89033
North,Dyno4,31/07/2019,15691.34753
East,Prod T,31/07/2019,14760.026
South,Game8,31/07/2019,15835.93471
North,Dyno5,31/07/2019,15559.53887
East,Game10,31/07/2019,14883.03061
South,Game6,31/07/2019,15686.36687
North,Game8,31/07/2019,15596.0004
West,Board3,31/07/2019,15459.17594
North,Dyno5,31/07/2019,15581.11127
East,Game5,31/07/2019,14960.54954
North,Game3,31/07/2019,15455.7328
South,Game4,31/07/2019,15797.64448
West,Dyno4,31/07/2019,15735.02493
North,Board5,31/07/2019,15798.19825
South,Game4,31/07/2019,15779.19266
North,Board3,31/07/2019,15497.15666
North,Board5,31/07/2019,15686.0367
North,Game3,31/07/2019,15882.06284
North,Game8,31/07/2019,15784.64613
South,Game7,31/07/2019,15742.54465
East,Board4,31/07/2019,15333.04983
East,Board4,31/07/2019,14860.42195
North,Dyno5,31/07/2019,15490.1045
North,Game7,31/07/2019,15763.86082
North,Game2,31/07/2019,15784.18837
South,Game5,31/07/2019,16015.90489
North,Game3,31/07/2019,15566.2869
North,Game2,31/07/2019,15903.43493
South,Game4,31/07/2019,15781.18346
West,Game7,31/07/2019,15607.29124
North,Game10,31/07/2019,15721.77605
South,Board1,31/07/2019,15423.68202
North,Board1,31/07/2019,15548.97963
East,Dyno5,31/07/2019,15216.84348
North,Game2,31/07/2019,15342.26567
North,Game1,31/07/2019,15978.29318
North,Game10,31/07/2019,15723.65428
East,Board3,31/07/2019,15019.85955
South,Board5,31/07/2019,15671.8016
North,Game6,31/07/2019,15641.33642
South,Board3,31/07/2019,15698.82564
South,Game4,31/07/2019,15974.0676
West,Game1,31/07/2019,15399.16213
West,Game1,31/07/2019,15391.83977
North,Dyno5,31/07/2019,15470.8106
West,Board3,31/07/2019,15248.40738
South,Board1,31/07/2019,15896.28763
North,Game2,31/07/2019,15853.736
North,Board1,31/07/2019,15470.12202
East,Game10,31/07/2019,15066.85483
North,Prod T,31/07/2019,15542.58212
South,Game6,31/07/2019,15876.07139
East,Board2,31/07/2019,14953.83874
North,Game4,31/07/2019,15722.82823
West,Dyno1,31/07/2019,15418.9972
South,Dyno4,31/07/2019,15863.85339
North,Prod T,31/07/2019,15540.52683
South,Game1,31/07/2019,16092.10834
South,Dyno2,31/07/2019,15881.58242
North,Game6,31/07/2019,15533.85266
North,Dyno5,31/07/2019,15307.53117
North,Game1,31/07/2019,15771.11207
South,Dyno1,31/07/2019,16189.18391
North,Game4,31/07/2019,15556.11534
North,Game1,31/07/2019,15834.87372
North,Board5,31/07/2019,15498.15301
East,Dyno1,31/07/2019,14882.98953
South,Dyno4,31/07/2019,15458.05925
West,Game4,31/07/2019,15390.606
North,Prod T,31/07/2019,15104.25576
East,Board3,31/07/2019,15286.63866
North,Game1,31/07/2019,15520.08589
North,Dyno5,31/07/2019,15763.10701
North,Game5,31/07/2019,15714.55509
South,Dyno4,31/07/2019,15884.81562
North,Game2,31/07/2019,15403.43394
North,Prod T,31/07/2019,15526.1938
North,Game3,31/07/2019,15406.22732
West,Game8,31/07/2019,15794.60268
South,Board3,31/07/2019,16381.59818
North,Board5,31/07/2019,15970.03541
North,Prod T,31/07/2019,15437.07576
North,Board4,31/07/2019,15658.77658
South,Dyno4,31/07/2019,16021.71715
North,Game4,31/07/2019,15639.55094
North,Board2,31/07/2019,15579.6048
South,Prod T,31/07/2019,15818.93341
North,Dyno1,31/07/2019,15604.09592
North,Game5,31/07/2019,15793.50301
North,Board3,31/07/2019,15644.96145
South,Board5,31/07/2019,15382.68231
West,Game6,31/07/2019,15373.91508
North,Board4,31/07/2019,15439.28638
North,Dyno1,31/07/2019,15596.99741
West,Prod T,31/07/2019,15576.85162
South,Prod T,31/07/2019,15700.84441
North,Board3,31/07/2019,15280.61628
West,Dyno4,31/07/2019,15473.80631
North,Board3,31/07/2019,15202.61959
North,Board2,31/07/2019,15626.93369
North,Dyno2,31/07/2019,15564.07934
North,Game4,31/07/2019,15790.72386
South,Game9,31/07/2019,16062.25386
South,Dyno1,31/07/2019,15706.97849
North,Dyno4,31/07/2019,15553.86311
North,Dyno1,31/07/2019,15430.2331
East,Board1,31/07/2019,14793.67007
North,Board1,31/07/2019,15598.82046
North,Dyno1,31/07/2019,15315.97894
North,Game8,31/07/2019,15374.37922
East,Game1,31/07/2019,15155.54941
North,Board3,31/07/2019,15456.25544
North,Dyno2,31/07/2019,15639.6558
South,Game2,31/07/2019,15826.14345
North,Board2,31/07/2019,15598.15701
North,Dyno5,31/07/2019,15630.97795
East,Game1,31/07/2019,15186.82665
East,Game9,31/07/2019,15035.03199
North,Dyno4,31/07/2019,15451.75703
North,Game4,31/07/2019,15844.51807
South,Board4,31/07/2019,16047.49183
North,Board5,31/07/2019,15793.54961
West,Game7,31/07/2019,15714.21578
North,Game6,31/07/2019,15478.2855
East,Game5,31/07/2019,14821.63843
West,Dyno1,31/07/2019,15581.43221
North,Game9,31/07/2019,15744.74954
North,Game7,31/07/2019,15527.4477
South,Game7,31/07/2019,15871.30346
West,Game7,31/07/2019,15241.47047
North,Dyno2,31/07/2019,15918.94851
North,Game6,31/07/2019,15895.13181
South,Game9,31/07/2019,16216.5352
North,Dyno5,31/07/2019,15928.63157
South,Game6,31/07/2019,15726.89476
North,Game4,31/07/2019,15699.1157
North,Game3,31/07/2019,15517.74112
South,Dyno4,31/07/2019,15945.96804
North,Dyno2,31/07/2019,15670.37898
South,Game1,31/07/2019,15477.08109
East,Dyno4,31/07/2019,15326.65958
West,Game4,31/07/2019,15560.52664
North,Game10,31/07/2019,15800.07408
North,Dyno1,31/07/2019,15639.66072
West,Game5,31/07/2019,15504.99041
South,Game5,31/07/2019,16157.16087
South,Board2,31/07/2019,15629.33243
South,Dyno5,31/07/2019,15927.04215
South,Game10,31/07/2019,16068.10963
East,Game10,31/07/2019,15002.43379
West,Board1,31/07/2019,15725.96412
North,Game4,31/07/2019,15709.18391
South,Dyno2,31/07/2019,15848.55848
North,Dyno2,31/07/2019,15636.10798
North,Dyno2,31/07/2019,15754.88684
North,Board1,31/07/2019,15746.71791
East,Game10,31/07/2019,14928.92449
North,Game7,31/07/2019,15630.87121
North,Game9,31/07/2019,15650.60113
South,Board4,31/07/2019,15614.72544
North,Game7,31/07/2019,15480.37338
West,Game4,31/07/2019,15673.93184
North,Game3,31/07/2019,15799.28275
North,Game1,31/07/2019,15547.91344
West,Board3,31/07/2019,15384.13618
North,Board2,31/07/2019,15558.78146
West,Game9,31/07/2019,15669.1178
North,Game9,31/07/2019,15798.25235
North,Game6,31/07/2019,15835.97431
North,Game5,31/07/2019,15937.31192
South,Dyno2,31/07/2019,15794.88086
North,Board3,31/07/2019,15885.62586
North,Game7,31/07/2019,15597.70392
South,Board3,31/07/2019,15610.69898
South,Game6,31/07/2019,15864.29663
West,Game2,31/07/2019,15688.38594
North,Game5,31/07/2019,15507.11401
North,Dyno5,31/07/2019,15540.90751
North,Board3,31/07/2019,16049.69146
South,Board2,31/07/2019,15791.68582
West,Dyno4,31/07/2019,15867.72431
East,Game6,31/07/2019,15187.49261
North,Game10,31/07/2019,16027.97896
North,Dyno2,31/07/2019,15719.85362
North,Dyno1,31/07/2019,15764.87211
West,Game6,31/07/2019,15461.70184
North,Game1,31/07/2019,15359.38954
North,Board5,31/07/2019,15663.8615
West,Prod T,31/07/2019,15553.37513
West,Prod T,31/07/2019,15942.68917
West,Game3,31/07/2019,15450.23795
North,Board2,31/07/2019,15442.89927
West,Game8,31/07/2019,15793.64578
South,Game5,31/07/2019,16167.36543
North,Dyno2,31/07/2019,15607.48383
East,Board3,31/07/2019,15023.0567
South,Game6,31/07/2019,15854.33911
North,Game7,31/07/2019,15937.14651
East,Game6,31/07/2019,14885.45839
West,Board3,31/07/2019,15759.01503
North,Game7,31/07/2019,15391.15553
West,Board1,31/07/2019,15575.40978
North,Dyno5,31/07/2019,15803.20059
East,Game6,31/07/2019,15006.08459
South,Game10,31/07/2019,15337.50948
West,Dyno1,31/07/2019,15729.68664
North,Game3,31/07/2019,15248.14403
North,Game9,31/07/2019,15991.1027
East,Board2,31/07/2019,15140.73012
South,Board2,31/07/2019,15653.88165
North,Board4,31/07/2019,15670.93403
North,Board3,31/07/2019,15346.68986
West,Board3,31/07/2019,15272.33433
West,Board2,31/07/2019,15425.33733
North,Dyno4,31/07/2019,15853.00895
North,Game1,31/07/2019,16058.96761
West,Board4,31/07/2019,15304.78496
South,Board1,31/07/2019,16068.53357
South,Game4,31/07/2019,15653.80494
South,Game5,31/07/2019,16113.54653
North,Board5,31/07/2019,15790.49062
North,Board4,31/07/2019,15386.16209
South,Board3,31/07/2019,15760.18754
South,Game4,31/07/2019,15315.67276
North,Game1,31/07/2019,15492.84476
North,Board1,31/07/2019,15516.89059
West,Game6,31/07/2019,15570.81417
East,Board3,31/07/2019,14644.31328
South,Game9,31/07/2019,15936.64208
East,Prod T,31/07/2019,15310.4887
North,Game3,31/07/2019,15737.51648
West,Game10,31/07/2019,15117.73894
West,Game7,31/07/2019,15770.97794
South,Game2,31/07/2019,15951.74266
North,Game9,31/07/2019,15574.55787
