Region,Product,Date,Sales
East,Game1,30/06/2019,13490.16055
West,Game8,30/06/2019,13933.89588
West,Game10,30/06/2019,13673.87867
North,Board4,30/06/2019,13864.80558
South,Prod T,30/06/2019,14153.96641
North,Dyno2,30/06/2019,14404.1687
South,Game3,30/06/2019,14321.17617
South,Prod T,30/06/2019,14049.40808
South,Game6,30/06/2019,14560.80238
South,Game3,30/06/2019,14323.63512
North,Prod T,30/06/2019,14121.55181
North,Game1,30/06/2019,14243.34945
East,Game6,30/06/2019,14256.13249
North,Game3,30/06/2019,14175.11265
South,Game2,30/06/2019,14447.71099
West,Game7,30/06/2019,13669.48859
East,Dyno5,30/06/2019,13508.29099
North,Dyno5,30/06/2019,14252.75053
North,Game1,30/06/2019,14077.12015
East,Board1,30/06/2019,13612.80902
North,Game8,30/06/2019,14056.25361
West,Game1,30/06/2019,13863.37501
South,Dyno5,30/06/2019,14501.68778
North,Game6,30/06/2019,14110.36219
South,Game3,30/06/2019,14222.34685
West,Board3,30/06/2019,14271.24966
North,Board3,30/06/2019,13995.2081
West,Dyno4,30/06/2019,14122.58333
South,Game10,30/06/2019,14841.7154
East,Dyno1,30/06/2019,13406.63417
West,Game7,30/06/2019,13981.45842
North,Game9,30/06/2019,13906.72119
North,Game2,30/06/2019,13913.19111
South,Board2,30/06/2019,14832.73591
North,Board4,30/06/2019,13942.91573
North,Game3,30/06/2019,14178.21544
North,Board3,30/06/2019,14037.64123
West,Board4,30/06/2019,14063.07048
East,Game7,30/06/2019,13568.94834
North,Game6,30/06/2019,13909.28384
North,Dyno2,30/06/2019,14524.39285
North,Game8,30/06/2019,13530.03859
North,Board1,30/06/2019,13845.12866
East,Game4,30/06/2019,13785.56227
North,Game8,30/06/2019,14059.90735
South,Dyno1,30/06/2019,14194.95077
South,Board3,30/06/2019,14509.51016
South,Board4,30/06/2019,14264.67327
West,Game7,30/06/2019,13933.52547
North,Board3,30/06/2019,13862.08954
North,Board2,30/06/2019,14378.48494
North,Dyno1,30/06/2019,14387.61751
North,Dyno5,30/06/2019,14042.77184
North,Game5,30/06/2019,14006.55341
North,Game9,30/06/2019,14048.87716
North,Game5,30/06/2019,13979.20857
North,Game3,30/06/2019,13877.36995
North,Game5,30/06/2019,14350.55627
North,Game10,30/06/2019,14024.67045
North,Dyno2,30/06/2019,14071.21426
North,Game4,30/06/2019,14011.64441
North,Board3,30/06/2019,13805.88454
South,Board5,30/06/2019,14223.84281
North,Board3,30/06/2019,14626.9645
North,Dyno5,30/06/2019,14041.26891
North,Game10,30/06/2019,13991.06713
South,Game2,30/06/2019,14400.42056
South,Game7,30/06/2019,14456.96278
South,Game2,30/06/2019,14372.41331
North,Board1,30/06/2019,13838.41787
North,Dyno1,30/06/2019,13718.11939
